Question Number,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,MCQ,Which of the following is a chemical change?,Melting of ice,Dissolving sugar in water,Rusting of iron,Breaking of glass,"Rusting of iron"
2,MCQ,What is the balanced equation for: H₂ + O₂ → H₂O?,H₂ + O₂ → H₂O,2H₂ + O₂ → 2H₂O,H₂ + 2O₂ → 2H₂O,2H₂ + 2O₂ → 2H₂O,"2H₂ + O₂ → 2H₂O"
3,MCQ,Which type of reaction is: 2Mg + O₂ → 2MgO?,Decomposition,Combination,Displacement,Double displacement,Combination
4,MCQ,In the reaction Fe + CuSO₄ → FeSO₄ + Cu, which metal is more reactive?,Copper,Iron,Both are equally reactive,Cannot be determined,Iron
5,MCQ,What is the product when zinc reacts with dilute hydrochloric acid?,ZnCl₂ + H₂,ZnCl + H₂,ZnCl₂ + H₂O,Zn + HCl,"ZnCl₂ + H₂"
6,MCQ,Which gas is evolved when sodium carbonate reacts with dilute hydrochloric acid?,H₂,O₂,CO₂,Cl₂,CO₂
7,MCQ,What type of reaction is: CaCO₃ → CaO + CO₂?,Combination,Decomposition,Displacement,Double displacement,Decomposition
8,MCQ,The reaction BaCl₂ + Na₂SO₄ → BaSO₄ + 2NaCl is an example of:,Combination reaction,Decomposition reaction,Displacement reaction,Double displacement reaction,Double displacement reaction
9,MCQ,What happens to copper when it is heated in air?,It melts,It forms CuO,It forms Cu₂O,No reaction,It forms CuO
10,MCQ,Which of the following is an endothermic reaction?,Burning of coal,Respiration,Decomposition of calcium carbonate,Formation of water,Decomposition of calcium carbonate
11,MCQ,What is the chemical formula of rust?,FeO,Fe₂O₃,Fe₂O₃·xH₂O,Fe₃O₄,"Fe₂O₃·xH₂O"
12,MCQ,In a redox reaction, oxidation involves:,Gain of electrons,Loss of electrons,Gain of oxygen,Both b and c,"Both b and c"
13,MCQ,Which of the following is a reducing agent?,O₂,H₂,Cl₂,F₂,H₂
14,MCQ,What is the balanced equation for: Al + HCl → AlCl₃ + H₂?,Al + 3HCl → AlCl₃ + H₂,2Al + 6HCl → 2AlCl₃ + 3H₂,Al + HCl → AlCl₃ + H₂,2Al + 3HCl → 2AlCl₃ + H₂,"2Al + 6HCl → 2AlCl₃ + 3H₂"
15,MCQ,Which gas is produced when lead nitrate is heated?,NO₂,O₂,N₂,NO,NO₂
16,MCQ,The reaction 2H₂O₂ → 2H₂O + O₂ is catalyzed by:,Manganese dioxide,Iron,Copper,Zinc,Manganese dioxide
17,MCQ,What type of reaction is: CH₄ + 2O₂ → CO₂ + 2H₂O?,Combination,Decomposition,Combustion,Displacement,Combustion
18,MCQ,Which of the following is not a chemical reaction?,Digestion of food,Photosynthesis,Melting of wax,Burning of paper,Melting of wax
19,MCQ,In the reaction CuO + H₂ → Cu + H₂O, H₂ is:,Oxidized,Reduced,Neither oxidized nor reduced,Both oxidized and reduced,Oxidized
20,MCQ,What is the product when quicklime reacts with water?,Ca(OH)₂,CaCO₃,CaO,CaCl₂,Ca(OH)₂
21,MCQ,Which of the following reactions is exothermic?,Electrolysis of water,Decomposition of silver chloride,Formation of water from H₂ and O₂,Photosynthesis,"Formation of water from H₂ and O₂"
22,MCQ,What happens when silver chloride is exposed to sunlight?,It turns white,It turns black,It turns yellow,No change,It turns black
23,MCQ,The reaction 2AgCl → 2Ag + Cl₂ is an example of:,Combination reaction,Decomposition reaction,Displacement reaction,Photochemical decomposition,Photochemical decomposition
24,MCQ,Which metal does not react with dilute hydrochloric acid?,Zinc,Iron,Copper,Magnesium,Copper
25,MCQ,What is the balanced equation for: Na + H₂O → NaOH + H₂?,Na + H₂O → NaOH + H₂,2Na + 2H₂O → 2NaOH + H₂,Na + 2H₂O → NaOH + H₂,2Na + H₂O → 2NaOH + H₂,"2Na + 2H₂O → 2NaOH + H₂"
26,MCQ,Which gas turns lime water milky?,H₂,O₂,CO₂,N₂,CO₂
27,MCQ,What type of reaction is: Fe₂O₃ + 2Al → Al₂O₃ + 2Fe?,Combination,Displacement,Double displacement,Decomposition,Displacement
28,MCQ,Which of the following is a physical change?,Burning of paper,Rusting of iron,Evaporation of water,Digestion of food,Evaporation of water
29,MCQ,In the reaction Zn + CuSO₄ → ZnSO₄ + Cu, which element is reduced?,Zinc,Copper,Sulfur,Oxygen,Copper
30,MCQ,What is the chemical formula of quicklime?,Ca(OH)₂,CaCO₃,CaO,CaCl₂,CaO
31,MCQ,Which of the following reactions involves both oxidation and reduction?,2H₂ + O₂ → 2H₂O,CaCO₃ → CaO + CO₂,2Na + Cl₂ → 2NaCl,All of the above,"All of the above"
32,MCQ,What happens when magnesium ribbon is burnt in air?,It forms MgO,It forms Mg(OH)₂,It forms MgCO₃,No reaction,It forms MgO
33,MCQ,Which of the following is a combination reaction?,2H₂O → 2H₂ + O₂,CaCO₃ → CaO + CO₂,2Mg + O₂ → 2MgO,Zn + CuSO₄ → ZnSO₄ + Cu,"2Mg + O₂ → 2MgO"
34,MCQ,What is rancidity?,Corrosion of iron,Oxidation of fats and oils,Formation of rust,Decomposition of food,Oxidation of fats and oils
35,MCQ,Which gas is produced when zinc reacts with sodium hydroxide?,H₂,O₂,CO₂,Cl₂,H₂
36,MCQ,What is the balanced equation for: Fe + Cl₂ → FeCl₃?,Fe + Cl₂ → FeCl₃,2Fe + 3Cl₂ → 2FeCl₃,Fe + 3Cl₂ → FeCl₃,2Fe + Cl₂ → 2FeCl₃,"2Fe + 3Cl₂ → 2FeCl₃"
37,MCQ,Which of the following prevents rusting?,Painting,Galvanization,Oiling,All of the above,"All of the above"
38,MCQ,What type of reaction is: NH₄Cl → NH₃ + HCl?,Combination,Decomposition,Displacement,Double displacement,Decomposition
39,MCQ,In the reaction 2H₂O₂ → 2H₂O + O₂, what is the catalyst?,MnO₂,Fe,Cu,Zn,MnO₂
40,MCQ,Which of the following is an oxidizing agent?,H₂,CO,O₂,C,O₂
41,MCQ,What happens when copper is placed in silver nitrate solution?,No reaction,Copper displaces silver,Silver displaces copper,Both dissolve,Copper displaces silver
42,MCQ,The reaction AgNO₃ + NaCl → AgCl + NaNO₃ is an example of:,Combination reaction,Decomposition reaction,Displacement reaction,Double displacement reaction,Double displacement reaction
43,MCQ,What is the chemical formula of slaked lime?,CaO,Ca(OH)₂,CaCO₃,CaCl₂,Ca(OH)₂
44,MCQ,Which of the following reactions is endothermic?,Burning of methane,Respiration,Decomposition of ferrous sulfate,Formation of water,Decomposition of ferrous sulfate
45,MCQ,What is the balanced equation for: C + O₂ → CO₂?,C + O₂ → CO₂,2C + O₂ → 2CO₂,C + 2O₂ → CO₂,Already balanced,Already balanced
46,MCQ,Which gas is produced when calcium carbonate reacts with dilute acid?,H₂,O₂,CO₂,Cl₂,CO₂
47,MCQ,What type of reaction is: Pb + CuCl₂ → PbCl₂ + Cu?,Combination,Decomposition,Displacement,Double displacement,Displacement
48,MCQ,Which of the following is not a chemical reaction?,Fermentation,Crystallization,Combustion,Respiration,Crystallization
49,MCQ,In the reaction 2KClO₃ → 2KCl + 3O₂, what type of reaction is this?,Combination,Decomposition,Displacement,Double displacement,Decomposition
50,MCQ,What prevents the oxidation of food items?,Nitrogen,Oxygen,Antioxidants,Water,Antioxidants
51,Reaction/Integer,Balance: H₂ + O₂ → H₂O,,,,"2H₂ + O₂ → 2H₂O"
52,Reaction/Integer,Balance: Zn + HCl → ZnCl₂ + H₂,,,,"Zn + 2HCl → ZnCl₂ + H₂"
53,Reaction/Integer,Balance: CaCO₃ → CaO + CO₂,,,,"Already balanced"
54,Reaction/Integer,Balance: Al + O₂ → Al₂O₃,,,,"4Al + 3O₂ → 2Al₂O₃"
55,Reaction/Integer,Balance: Fe + Cl₂ → FeCl₃,,,,"2Fe + 3Cl₂ → 2FeCl₃"
56,Reaction/Integer,Balance: Na + H₂O → NaOH + H₂,,,,"2Na + 2H₂O → 2NaOH + H₂"
57,Reaction/Integer,Balance: CH₄ + O₂ → CO₂ + H₂O,,,,"CH₄ + 2O₂ → CO₂ + 2H₂O"
58,Reaction/Integer,Balance: NH₃ + O₂ → NO + H₂O,,,,"4NH₃ + 5O₂ → 4NO + 6H₂O"
59,Reaction/Integer,Balance: P₄ + O₂ → P₂O₅,,,,"P₄ + 5O₂ → 2P₂O₅"
60,Reaction/Integer,Balance: KClO₃ → KCl + O₂,,,,"2KClO₃ → 2KCl + 3O₂"
61,Reaction/Integer,Balance: H₂SO₄ + NaOH → Na₂SO₄ + H₂O,,,,"H₂SO₄ + 2NaOH → Na₂SO₄ + 2H₂O"
62,Reaction/Integer,Balance: Ca + H₂O → Ca(OH)₂ + H₂,,,,"Ca + 2H₂O → Ca(OH)₂ + H₂"
63,Reaction/Integer,Balance: Mg + N₂ → Mg₃N₂,,,,"3Mg + N₂ → Mg₃N₂"
64,Reaction/Integer,Balance: Fe₂O₃ + C → Fe + CO,,,,"Fe₂O₃ + 3C → 2Fe + 3CO"
65,Reaction/Integer,Balance: BaCl₂ + Na₂SO₄ → BaSO₄ + NaCl,,,,"BaCl₂ + Na₂SO₄ → BaSO₄ + 2NaCl"
66,Reaction/Integer,Balance: AgNO₃ + NaCl → AgCl + NaNO₃,,,,"Already balanced"
67,Reaction/Integer,Balance: CuO + H₂ → Cu + H₂O,,,,"Already balanced"
68,Reaction/Integer,Balance: Zn + CuSO₄ → ZnSO₄ + Cu,,,,"Already balanced"
69,Reaction/Integer,Balance: Fe + H₂SO₄ → FeSO₄ + H₂,,,,"Already balanced"
70,Reaction/Integer,Balance: 2H₂O₂ → H₂O + O₂,,,,"2H₂O₂ → 2H₂O + O₂"
71,Reaction/Integer,Balance: Ca(OH)₂ + CO₂ → CaCO₃ + H₂O,,,,"Already balanced"
72,Reaction/Integer,Balance: Al + HCl → AlCl₃ + H₂,,,,"2Al + 6HCl → 2AlCl₃ + 3H₂"
73,Reaction/Integer,Balance: Pb(NO₃)₂ → PbO + NO₂ + O₂,,,,"2Pb(NO₃)₂ → 2PbO + 4NO₂ + O₂"
74,Reaction/Integer,Balance: NH₄Cl → NH₃ + HCl,,,,"Already balanced"
75,Reaction/Integer,Balance: Fe₂O₃ + Al → Al₂O₃ + Fe,,,,"Fe₂O₃ + 2Al → Al₂O₃ + 2Fe"
76,Reaction/Integer,Balance: H₂ + Cl₂ → HCl,,,,"H₂ + Cl₂ → 2HCl"
77,Reaction/Integer,Balance: Na₂CO₃ + HCl → NaCl + H₂O + CO₂,,,,"Na₂CO₃ + 2HCl → 2NaCl + H₂O + CO₂"
78,Reaction/Integer,Balance: CaO + H₂O → Ca(OH)₂,,,,"Already balanced"
79,Reaction/Integer,Balance: 2KBr + Cl₂ → KCl + Br₂,,,,"2KBr + Cl₂ → 2KCl + Br₂"
80,Reaction/Integer,Balance: Fe + S → FeS,,,,"Already balanced"
81,Reaction/Integer,Balance: Cu + AgNO₃ → Cu(NO₃)₂ + Ag,,,,"Cu + 2AgNO₃ → Cu(NO₃)₂ + 2Ag"
82,Reaction/Integer,Balance: Mg + O₂ → MgO,,,,"2Mg + O₂ → 2MgO"
83,Reaction/Integer,Balance: H₂O → H₂ + O₂,,,,"2H₂O → 2H₂ + O₂"
84,Reaction/Integer,Balance: Ca + O₂ → CaO,,,,"2Ca + O₂ → 2CaO"
85,Reaction/Integer,Balance: Zn + O₂ → ZnO,,,,"2Zn + O₂ → 2ZnO"
86,Reaction/Integer,Balance: Na + Cl₂ → NaCl,,,,"2Na + Cl₂ → 2NaCl"
87,Reaction/Integer,Balance: Fe + O₂ → Fe₃O₄,,,,"3Fe + 2O₂ → Fe₃O₄"
88,Reaction/Integer,Balance: C₂H₆ + O₂ → CO₂ + H₂O,,,,"2C₂H₆ + 7O₂ → 4CO₂ + 6H₂O"
89,Reaction/Integer,Balance: Al₂O₃ → Al + O₂,,,,"2Al₂O₃ → 4Al + 3O₂"
90,Reaction/Integer,Balance: NH₃ + HCl → NH₄Cl,,,,"Already balanced"
91,Reaction/Integer,Balance: Ba(OH)₂ + H₂SO₄ → BaSO₄ + H₂O,,,,"Ba(OH)₂ + H₂SO₄ → BaSO₄ + 2H₂O"
92,Reaction/Integer,Balance: FeCl₃ + NaOH → Fe(OH)₃ + NaCl,,,,"FeCl₃ + 3NaOH → Fe(OH)₃ + 3NaCl"
93,Reaction/Integer,Balance: CaCO₃ + HCl → CaCl₂ + H₂O + CO₂,,,,"CaCO₃ + 2HCl → CaCl₂ + H₂O + CO₂"
94,Reaction/Integer,Balance: Pb + CuCl₂ → PbCl₂ + Cu,,,,"Already balanced"
95,Reaction/Integer,Balance: 2AgBr → Ag + Br₂,,,,"2AgBr → 2Ag + Br₂"
96,Reaction/Integer,Balance: Zn + NaOH → Na₂ZnO₂ + H₂,,,,"Zn + 2NaOH → Na₂ZnO₂ + H₂"
97,Reaction/Integer,Balance: FeSO₄ → Fe₂O₃ + SO₂ + SO₃,,,,"2FeSO₄ → Fe₂O₃ + SO₂ + SO₃"
98,Reaction/Integer,Balance: C₄H₁₀ + O₂ → CO₂ + H₂O,,,,"2C₄H₁₀ + 13O₂ → 8CO₂ + 10H₂O"
99,Reaction/Integer,Balance: Al + Fe₂O₃ → Al₂O₃ + Fe,,,,"2Al + Fe₂O₃ → Al₂O₃ + 2Fe"
100,Reaction/Integer,Balance: H₂S + O₂ → H₂O + SO₂,,,,"2H₂S + 3O₂ → 2H₂O + 2SO₂"
101,Descriptive,What is a chemical reaction? Give an example.,,,,"A chemical reaction is a process where reactants transform into products with new properties. Example: 2H₂ + O₂ → 2H₂O"
102,Descriptive,Differentiate between physical and chemical changes.,,,,"Physical changes are reversible and do not form new substances (e.g., melting ice). Chemical changes are irreversible and form new substances (e.g., rusting of iron)."
103,Descriptive,What is a balanced chemical equation? Why is it important?,,,,"A balanced equation has equal numbers of each atom on both sides. It follows the law of conservation of mass and shows the correct stoichiometry."
104,Descriptive,Explain combination reaction with two examples.,,,,"A reaction where two or more substances combine to form one product. Examples: 2Mg + O₂ → 2MgO; CaO + H₂O → Ca(OH)₂"
105,Descriptive,What is a decomposition reaction? Give examples.,,,,"A reaction where one compound breaks into two or more simpler substances. Examples: CaCO₃ → CaO + CO₂; 2H₂O → 2H₂ + O₂"
106,Descriptive,Explain displacement reaction with an example.,,,,"A reaction where a more reactive element displaces a less reactive one from its compound. Example: Zn + CuSO₄ → ZnSO₄ + Cu"
